"id","Cal. R (610nm)","Cal. S (680nm)","Cal. T (730nm)","Cal. U (760nm)","Cal. V (810nm)","Cal. W (860nm)","Cal. G (560nm)","Cal. H (585nm)","Cal. I (645nm)","Cal. J (705nm)","Cal. K (900nm)","Cal. L (940nm)","Cal. A (410nm)","Cal. B (435nm)","Cal. C (460nm)","Cal. D (485nm)","Cal. E (510nm)","Cal. F (535nm)","label"
1,7.3,22.4,52.7,10,4.2,9.7,3,3.3,8.7,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"sadio"
1,7.3,22.4,53.8,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21227"
1,7.3,22.4,55,10,4.2,9.7,3,2.8,8.4,11.3,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21202"
1,7.3,22.4,57.3,10,4.2,9.7,3,2.8,8,10.5,4.7,2.7,1,1.9,3.6,2.8,4,4.2,"21198"
1,7.3,23.4,53.8,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,3.2,4.2,"21210"
1,7.3,23.4,56.1,10,4.2,9.7,3,2.8,8.7,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
1,7.3,23.4,57.3,10,4.2,9.7,2.5,2.8,8.4,10.9,5.3,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
1,8.7,23.4,59.6,11,4.2,9.7,3,2.8,8.7,10.9,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
1,8.7,24.5,55,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
1,8.7,24.5,59.6,11,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
1,8.7,25.6,65.3,11,4.2,10.9,3,2.8,8.7,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
1,11.7,37.3,85.9,14.9,6.2,13.3,5,4.7,13.5,16.5,6.4,3.7,1.9,2.9,6.3,4.7,6.4,7,"giberela"
2,7.3,22.4,53.8,10,4.2,9.7,3,3.3,9.1,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"sadio"
2,7.3,22.4,55,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21227"
2,7.3,22.4,56.1,10,4.2,9.7,3,2.8,8.4,11.3,5.3,2.7,1,1.9,3.6,2.8,3.2,3.5,"21202"
2,7.3,22.4,57.3,10,4.2,9.7,3,2.8,8,10.5,4.7,2.7,1,1.9,3.6,2.8,4,4.2,"21198"
2,7.3,23.4,55,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,3.2,4.2,"21210"
2,7.3,23.4,56.1,10,4.2,9.7,3,2.8,8.7,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
2,7.3,23.4,57.3,10,4.2,9.7,2.5,2.8,8.4,10.9,5.3,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
2,8.7,23.4,60.7,11,4.2,9.7,3,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21201"
2,8.7,24.5,56.1,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
2,8.7,24.5,63,11,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
2,8.7,25.6,66.4,11,4.2,10.9,3,2.8,8.7,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
2,11.7,37.3,85.9,14.9,6.2,13.3,5,4.7,13.5,16.5,6.4,3.7,1.9,2.9,6.3,4.7,6.4,7,"giberela"
3,7.3,22.4,56.1,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,4.5,1.9,3.2,3.5,"21227"
3,7.3,22.4,57.3,10,4.2,9.7,3,2.8,8,10.5,4.7,2.7,1,1.9,3.6,2.8,4,4.2,"21198"
3,7.3,22.4,57.3,11,4.2,9.7,3,2.8,8.4,11.3,5.3,2.7,1,1.9,3.6,2.8,3.2,3.5,"21202"
3,7.3,23.4,53.8,10,4.2,9.7,3,3.3,9.1,11.3,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"sadio"
3,7.3,23.4,56.1,10,4.2,9.7,2.5,2.8,8.4,10.9,5.3,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
3,7.3,23.4,56.1,10,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,3.6,2.8,3.2,4.2,"21210"
3,7.3,23.4,57.3,10,4.2,9.7,3,2.8,8.7,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
3,8.7,23.4,60.7,11,4.2,9.7,3,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21201"
3,8.7,24.5,56.1,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
3,8.7,24.5,64.1,11,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
3,8.7,25.6,67.6,11,4.2,9.7,3,2.8,8.7,11.7,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
3,11.7,37.3,85.9,14.9,6.2,13.3,5,4.7,13.5,16.5,6.4,3.7,1.9,2.9,6.3,4.7,6.4,7,"giberela"
4,7.3,22.4,56.1,10,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
4,7.3,22.4,57.3,10,4.2,9.7,3,2.8,8,10.5,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
4,7.3,22.4,59.6,11,4.2,9.7,3,2.8,8.4,11.3,5.3,2.7,1,1.9,3.6,2.8,3.2,4.2,"21202"
4,7.3,23.4,55,10,4.2,9.7,3,3.3,9.1,11.3,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"sadio"
4,7.3,23.4,56.1,10,4.2,9.7,2.5,2.8,8.4,10.9,5.3,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
4,7.3,23.4,57.3,10,4.2,9.7,3,2.8,8.7,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
4,7.3,23.4,57.3,11,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,3.6,2.8,3.2,4.2,"21210"
4,8.7,23.4,60.7,11,4.2,9.7,3,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21201"
4,8.7,24.5,57.3,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
4,8.7,24.5,63,11,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
4,8.7,25.6,67.6,11,4.2,9.7,3,2.8,8.4,11.7,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
4,11.7,37.3,85.9,14.9,6.2,13.3,5,4.7,13.5,16.5,6.4,3.7,1.9,2.9,6.3,4.7,6.4,7,"giberela"
5,7.3,22.4,57.3,10,4.2,9.7,3,2.8,8,10.5,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
5,7.3,22.4,58.4,11,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
5,7.3,22.4,59.6,11,4.2,9.7,2.5,2.8,8.4,11.3,5.3,2.7,1,1.9,3.6,2.8,3.2,4.2,"21202"
5,7.3,23.4,55,10,4.2,9.7,2.5,2.8,8.4,10.9,5.3,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
5,7.3,23.4,56.1,10,4.2,9.7,3,3.3,8.7,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
5,7.3,23.4,56.1,10,4.2,9.7,3,3.3,9.1,11.3,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"sadio"
5,8.7,23.4,59.6,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
5,8.7,23.4,60.7,11,4.2,9.7,3,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21201"
5,8.7,23.4,60.7,11,4.2,9.7,3,2.8,8.4,11.3,5.3,2.7,1,1.9,3.6,2.8,4,4.2,"21210"
5,8.7,24.5,58.4,11,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
5,8.7,25.6,67.6,11,4.2,9.7,3,2.8,8.4,11.7,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
5,11.7,37.3,85.9,14.9,6.2,13.3,5,4.7,13.5,16.5,6.4,3.7,1.9,2.9,6.3,4.7,6.4,7,"giberela"
6,7.3,22.4,57.3,10,4.2,9.7,3,2.8,7.6,10.5,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
6,7.3,22.4,58.4,11,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
6,7.3,22.4,60.7,11,4.2,9.7,3,2.8,8.4,11.3,4.7,2.7,1,1.9,3.6,2.8,3.2,4.2,"21202"
6,7.3,23.4,55,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
6,7.3,23.4,55,10,4.2,9.7,3,3.3,9.1,11.3,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"sadio"
6,7.3,23.4,56.1,10,4.2,9.7,3,3.3,8.7,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
6,8.7,23.4,56.1,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
6,8.7,23.4,60.7,11,4.2,9.7,3,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21201"
6,8.7,23.4,61.8,11,4.2,9.7,2.5,2.8,8.4,11.3,5.3,2.7,1,1.9,3.6,2.8,4,4.2,"21210"
6,8.7,24.5,58.4,11,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
6,8.7,25.6,66.4,11,4.2,9.7,3,2.8,8.7,11.7,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
6,11.7,37.3,85.9,14.9,6.2,13.3,5,4.7,13.5,16.5,6.4,3.7,1.9,2.9,6.3,4.7,6.4,7,"giberela"
7,7.3,21.3,57.3,10,4.2,9.7,3,2.8,8,10.5,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
7,7.3,22.4,59.6,11,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
7,7.3,22.4,60.7,11,4.2,9.7,3,2.8,8.4,11.3,4.7,2.7,1,1.9,3.6,2.8,3.2,4.2,"21202"
7,7.3,23.4,55,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
7,7.3,23.4,55,10,4.2,9.7,3,3.3,8.7,11.3,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"sadio"
7,7.3,23.4,55,10,4.2,9.7,3,3.3,8.7,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
7,8.7,23.4,55,10,4.2,9.7,3,3.3,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
7,8.7,23.4,61.8,11,4.2,9.7,2.5,2.8,8.4,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21210"
7,8.7,23.4,61.8,11,4.2,9.7,3,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21201"
7,8.7,24.5,58.4,11,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
7,10.2,25.6,65.3,11,4.2,9.7,3,2.8,8.7,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
7,11.7,37.3,85.9,14.9,6.2,13.3,5,4.7,13.5,16.5,6.4,3.7,1.9,2.9,7.2,4.7,6.4,7,"giberela"
8,7.3,21.3,57.3,10,4.2,9.7,3,2.8,8,10.1,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
8,7.3,22.4,58.4,10,4.2,9.7,3,2.8,8.7,11.3,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"21202"
8,7.3,22.4,60.7,11,4.2,9.7,2.5,2.8,7.6,10.9,4.7,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
8,7.3,23.4,53.8,10,4.2,9.7,3,3.3,8.7,11.3,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"sadio"
8,7.3,23.4,55,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
8,7.3,23.4,55,10,4.2,9.7,3,3.3,9.1,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
8,8.7,23.4,55,10,4.2,9.7,3,3.3,9.5,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
8,8.7,23.4,61.8,11,4.2,9.7,2.5,2.8,8.4,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21210"
8,8.7,23.4,61.8,11,4.2,9.7,3,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21201"
8,8.7,24.5,58.4,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
8,10.2,25.6,64.1,11,4.2,10.9,3,3.3,9.1,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
8,11.7,36.2,87,14.9,6.2,13.3,5,4.7,13.5,16.5,6.4,3.7,1.9,2.9,7.2,4.7,6.4,7,"giberela"
9,7.3,21.3,56.1,10,4.2,9.7,3,2.8,8,10.1,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
9,7.3,22.4,56.1,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"21202"
9,7.3,22.4,60.7,11,4.2,9.7,2.5,2.8,7.6,10.9,4.7,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
9,7.3,23.4,52.7,10,4.2,9.7,3,2.8,8.7,11.3,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"sadio"
9,7.3,23.4,53.8,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
9,7.3,23.4,55,10,4.2,9.7,3,3.3,9.1,11.3,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
9,8.7,23.4,53.8,10,4.2,9.7,3,3.3,9.5,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
9,8.7,23.4,61.8,11,4.2,9.7,2.5,2.8,8.4,11.3,5.3,2.7,1,1.9,3.6,2.8,4,4.2,"21210"
9,8.7,23.4,61.8,11,4.2,9.7,3,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21201"
9,8.7,24.5,57.3,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
9,10.2,25.6,63,11,4.2,10.9,3,3.3,9.1,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
9,13.1,36.2,89.3,14.9,6.2,13.3,5,4.7,13.5,16.1,6.4,3.7,1.9,2.9,7.2,4.7,7.2,7.7,"giberela"
10,7.3,21.3,56.1,10,4.2,9.7,3,2.8,8,10.1,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
10,7.3,22.4,53.8,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,3.5,"21202"
10,7.3,22.4,61.8,11,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
10,7.3,23.4,52.7,10,4.2,9.7,3,3.3,8.7,11.3,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"sadio"
10,7.3,23.4,53.8,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
10,7.3,23.4,56.1,10,4.2,9.7,3,3.3,9.1,10.9,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
10,8.7,23.4,53.8,10,4.2,9.7,3,3.3,9.5,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
10,8.7,23.4,60.7,11,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,3.6,2.8,4,4.2,"21210"
10,8.7,23.4,61.8,11,4.2,9.7,3,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21201"
10,8.7,24.5,57.3,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
10,10.2,25.6,63,11,4.2,10.9,3,3.3,9.1,12.1,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
10,13.1,36.2,89.3,14.9,6.2,13.3,5,4.7,13.5,16.1,6.4,3.7,1.9,2.9,7.2,4.7,7.2,7.7,"giberela"
11,7.3,21.3,56.1,10,4.2,9.7,3,2.8,8.4,10.1,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
11,7.3,22.4,52.7,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,3.5,"21202"
11,7.3,22.4,61.8,11,4.2,9.7,2.5,2.8,8,10.9,4.7,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
11,7.3,23.4,52.7,10,4.2,9.7,3,2.8,9.5,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
11,7.3,23.4,53.8,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
11,7.3,23.4,56.1,10,4.2,9.7,3,3.3,8.7,11.3,4.7,2.7,1,1.9,3.6,2.8,3.2,3.5,"sadio"
11,7.3,23.4,59.6,11,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,3.6,2.8,4,4.2,"21210"
11,8.7,23.4,55,10,4.2,9.7,3,2.8,9.1,10.9,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
11,8.7,23.4,57.3,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
11,8.7,23.4,63,11,4.2,9.7,2.5,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21201"
11,10.2,24.5,61.8,11,4.2,10.9,3,3.3,9.1,11.7,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
11,13.1,36.2,89.3,14.9,6.2,13.3,5,4.7,13.5,16.1,6.4,3.7,1.9,2.9,7.2,4.7,7.2,7.7,"giberela"
12,7.3,21.3,55,10,4.2,9.7,3,2.8,8.4,10.1,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
12,7.3,22.4,52.7,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,3.5,"21202"
12,7.3,22.4,60.7,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
12,7.3,23.4,52.7,9,4.2,9.7,3,3.3,9.5,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21199"
12,7.3,23.4,53.8,10,4.2,9.7,2.5,2.8,8.4,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21200"
12,7.3,23.4,59.6,11,4.2,9.7,3,2.8,8.7,11.3,5.3,2.7,1,1.9,3.6,2.8,4,4.2,"21210"
12,7.3,23.4,59.6,11,4.2,9.7,3,3.3,9.1,11.7,5.3,2.7,1,1.9,3.6,2.8,4,4.2,"sadio"
12,8.7,23.4,55,10,4.2,9.7,3,2.8,9.1,10.9,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21197"
12,8.7,23.4,56.1,10,4.2,9.7,3,2.8,9.1,11.3,5.3,2.7,1,1.9,4.5,2.8,4,4.2,"21196"
12,8.7,23.4,63,11,4.2,9.7,2.5,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,4.2,"21201"
12,8.7,24.5,59.6,11,4.2,10.9,3,3.3,9.1,11.7,5.3,2.7,1,1.9,4.5,2.8,4,4.9,"21195"
12,13.1,36.2,89.3,14.9,6.2,13.3,5,4.7,13.5,16.1,6.4,3.7,1.9,2.9,7.2,4.7,7.2,7.7,"giberela"
13,7.3,21.3,53.8,9,4.2,9.7,3,2.8,8.4,10.1,4.7,2.7,1,1.9,4.5,2.8,4,4.2,"21198"
13,7.3,22.4,52.7,10,4.2,9.7,3,2.8,8.7,10.9,4.7,2.7,1,1.9,4.5,2.8,3.2,3.5,"21202"
13,7.3,22.4,58.4,10,4.2,9.7,2.5,2.8,8.4,10.9,5.3,2.7,1,1.9,3.6,1.9,3.2,3.5,"21227"
